,STATE,CITY
3990,nv,las vegas
3991,ca,
3992,ca,
3997,ca,
3999,ny,new york
4001,ny,new york
4002,ca,
4007,ca,
4008,tx,dallas
4010,ca,san francisco
4013,ca,san diego
4017,ny,new york
4019,ny,new york
4024,ca,
4027,tx,fort worth
4028,ma,boston
4030,tx,houston
4041,ca,
4044,fl,
4045,ca,
4048,mo,
4051,la,
4052,dc,washington
4059,de,
4060,il,chicago
4063,ny,new york
4066,ny,new york
4075,dc,washington
4077,ca,
4079,dc,washington
4091,ms,
4096,dc,washington
4105,hi,
4108,ca,los angeles
4111,tx,
4112,ny,new york
4114,oh,
4118,ca,
4123,ms,
4124,ms,
4125,ny,new york
4126,ca,
4127,ms,
4128,la,
4130,tx,dallas
4136,dc,washington
4150,ca,
4151,ca,
4152,ca,
4153,ca,
4154,ca,
4157,dc,washington
4160,il,chicago
4166,dc,washington
4167,ca,
4168,tx,houston
4171,ca,
4176,tx,dallas
4177,dc,washington
4180,dc,washington
4181,ca,
4183,ca,
4184,dc,washington
4192,dc,washington
4195,fl,
4200,sc,
4201,az,phoenix
4206,tx,
4215,mt,
4219,ca,
4222,hi,
4225,co,
4232,tx,dallas
4239,dc,washington
4245,tx,houston
4247,il,chicago
4249,pa,philadelphia
4262,ny,new york
4264,fl,
4268,tx,
4269,tx,
4272,pa,
4276,ny,new york
4280,ca,los angeles
4283,fl,
4284,tx,
4286,ny,new york
4291,az,phoenix
4293,tx,dallas
4295,tx,dallas
4297,in,
4299,or,portland
4301,wa,seattle
4305,ny,new york
4307,dc,washington
4311,hi,
4313,ca,
4318,tx,
4322,ca,
4323,tx,houston
4334,ny,new york
4337,az,phoenix
4341,nv,las vegas
4342,ca,san diego
4343,ny,new york
4346,wi,
4350,fl,
4352,tx,
4354,nj,
4357,wi,
4362,co,
4363,ma,boston
4364,ca,
4367,wi,
4369,fl,
4372,ca,los angeles
4373,fl,
4378,ny,
4380,ny,new york
4381,hi,
4382,tx,
4390,ma,
4391,az,phoenix
4392,pa,philadelphia
4394,ca,
4398,ca,
4406,ca,san francisco
4409,pa,philadelphia
4413,il,
4417,ga,
4418,ks,
4433,ny,new york
4435,nj,
4436,mi,
4437,tx,san antonio
4439,mo,
4447,il,
4453,pa,philadelphia
4459,ca,
4460,pa,
4463,or,portland
4469,ca,los angeles
4479,ny,new york
4480,ny,new york
4482,nd,
4492,ca,
4493,ca,
4494,ca,
4495,ca,
4497,ca,
4501,dc,washington
4502,ca,los angeles
4506,pa,philadelphia
4510,ca,
4511,pa,philadelphia
4521,pa,philadelphia
4524,ks,
4526,nj,
4529,tx,
4538,al,
4541,ca,los angeles
4549,ks,
4551,ny,new york
4555,pa,philadelphia
4556,ks,
4557,dc,washington
4559,tx,
4573,mn,
4577,wy,
4584,tx,dallas
4585,ca,los angeles
4587,tx,dallas
4588,tx,dallas
4591,al,
4599,hi,
4602,dc,
4609,ny,new york
4611,tx,austin
4616,ny,new york
4619,ga,
4621,pa,philadelphia
4626,ny,new york
4638,mn,
4645,ny,new york
4646,nj,
4648,ny,new york
4650,ca,san francisco
4654,fl,
4661,tx,
4662,tx,dallas
4666,pa,philadelphia
4671,nv,las vegas
4673,ca,
4677,il,chicago
4679,nv,las vegas
4682,ny,
4694,oh,
4697,mi,detroit
4707,dc,washington
4709,fl,
4713,dc,washington
4717,oh,
4719,hi,
4723,pa,
4725,ca,
4726,ca,
4735,la,los angeles
4737,nv,las vegas
4748,il,chicago
4749,ri,
4750,oh,
4751,ca,
4753,ny,new york
4754,ca,
4756,ma,boston
4760,nv,las vegas
4761,tx,austin
4767,tx,austin
4768,ca,los angeles
4769,ca,
4770,mo,
4773,pa,philadelphia
4776,ca,
4777,ca,
4779,nj,
4780,ma,boston
4792,ca,san diego
4795,mo,
4797,hi,
4801,mi,
4802,ny,new york
4804,ma,boston
4805,ca,los angeles
4807,il,chicago
4808,ca,san francisco
4818,pa,philadelphia
4823,il,chicago
4831,tx,austin
4834,tx,austin
4839,fl,
4841,oh,
4853,nv,las vegas
4854,nv,las vegas
4855,tx,
4858,tx,
4859,mi,
4862,co,denver
4863,ca,los angeles
4864,tx,houston
4865,dc,washington
4870,ca,
4871,ca,
4872,ca,
4873,ca,
4874,ca,
4876,il,chicago
4880,nj,
4882,tx,
4885,pa,philadelphia
4888,il,chicago
4901,ca,san francisco
4903,tx,
4906,tx,dallas
4907,tx,austin
4912,fl,
4914,nh,
4915,nm,
4917,nm,
4920,ca,
4941,pa,dallas
4945,ny,
4947,fl,
4948,ny,new york
4949,tx,dallas
4954,fl,
4961,nj,
4967,wi,
4972,co,
4976,oh,
4978,tx,dallas
4984,ca,
4995,co,denver
4997,pa,philadelphia
4999,fl,
5004,ca,
5007,tx,dallas
5011,il,chicago
5014,wa,
5016,sc,
5017,tx,
5020,tx,
5021,tx,austin
5024,pa,philadelphia
5033,oh,
5050,ma,boston
5071,fl,
5076,il,chicago
5082,or,portland
5083,fl,
5108,fl,
5109,fl,
5110,fl,
5113,ca,los angeles
5135,tx,austin
5138,tx,houston
5147,oh,
5158,fl,
5168,nc,
5189,fl,
5191,ca,
5192,ca,
5193,ca,
5194,ca,
5196,ca,
5210,ma,boston
5225,fl,
5226,fl,
5227,fl,
5228,fl,
5230,fl,
5233,ma,
5234,fl,
5235,ga,
5238,fl,
5239,fl,
5241,fl,
5242,fl,
5248,fl,
5249,fl,
5251,fl,
5269,tn,
5270,mo,
5284,ms,
5285,ct,
5288,az,
5300,va,
5315,il,chicago
5337,va,
5368,nv,las vegas
5377,sc,
5379,nv,las vegas
5380,ca,san jose
5392,ca,
5394,wy,
5398,ca,los angeles
5402,va,
5408,fl,
5409,fl,
5410,ca,los angeles
5424,al,
5431,al,
5437,az,
5446,il,chicago
