,STATE,CITY
3018,ca,
3029,pa,philadelphia
3031,sc,
3040,tx,austin
3042,pa,
3048,ny,new york
3070,ca,
3071,ca,san francisco
3072,nv,las vegas
3080,ny,new york
3096,tx,
3102,fl,
3106,fl,
3111,ca,san diego
3121,nv,las vegas
3122,pa,philadelphia
3127,ny,new york
3128,fl,
3129,ca,los angeles
3130,ca,san jose
3133,az,phoenix
3136,ak,
3138,va,
3141,va,
3144,ca,
3145,ca,los angeles
3146,ny,new york
3151,ny,
3152,ca,san francisco
3154,ny,new york
3155,fl,
3158,tx,
3161,fl,
3164,ca,los angeles
3174,tx,
3181,ok,
3192,ca,san jose
3193,ca,san francisco
3194,ca,
3196,ca,
3197,dc,washington
3212,co,denver
3213,il,chicago
3215,tx,
3218,ut,
3222,tx,
3227,ct,
3234,ca,san francisco
3250,ca,los angeles
3252,wa,washington
3259,ga,
3263,co,denver
3268,ca,san francisco
3273,nc,
3274,tx,dallas
3276,nc,
3282,ca,
3283,az,
3294,ma,
3296,ca,
3297,ca,
3298,ca,
3299,ca,
3300,ca,
3307,wa,washington
3309,tx,
3312,ny,new york
3314,fl,
3319,la,los angeles
3321,co,denver
3322,ma,
3326,ca,
3329,il,chicago
3341,la,los angeles
3346,ny,new york
3349,ga,
3359,wa,washington
3369,wi,milwaukee
3371,la,los angeles
3375,tx,houston
3378,tx,houston
3379,ga,
3381,fl,
3384,fl,
3385,nj,
3386,il,chicago
3387,ca,san francisco
3388,wa,washington
3407,ny,new york
3418,wa,
3419,ca,san francisco
3423,ca,san diego
3426,ca,
3428,or,portland
3429,nj,
3435,tx,houston
3438,ny,new york
3440,wa,washington
3452,wa,washington
3457,fl,
3459,co,denver
3461,ca,los angeles
3466,nj,
3467,ca,san francisco
3472,fl,
3475,il,chicago
3478,tx,dallas
3480,in,indianapolis
3489,fl,
3496,ny,new york
3505,va,
3512,ca,los angeles
3516,nv,las vegas
3517,tx,austin
3519,tx,
3520,wa,seattle
3521,tx,
3539,az,
3551,ca,los angeles
3564,ca,san francisco
3565,ny,new york
3570,ca,san francisco
3571,tx,houston
3573,tx,houston
3588,ca,
3589,mo,
3591,fl,
3592,ga,
3593,az,phoenix
3595,mi,detroit
3596,ca,san francisco
